chit_id,chitnumber,payment_weeks,amount_per_week,total_amount,overdue_fees,cash_received,balance,total_paid_week,timestamp,num_of_chits
9,MCCF0009,1,100,100,0,100,0,24,25.03.16,1
9,MCCF0009,3,100,300,0,300,0,27,25.04.06,1
9,MCCF0009,3,100,300,0,300,0,30,25.04.22,1
9,MCCF0009,1,100,100,0,100,0,31,25.05.04,1
10,MCCF0010,1,100,100,0,100,0,1,24.10.31,1
10,MCCF0010,4,100,400,0,400,0,5,24.11.08,1
10,MCCF0010,6,100,600,0,600,0,11,24.12.26,1
10,MCCF0010,3,100,300,0,300,0,14,25.01.10,1
10,MCCF0010,2,100,200,0,200,0,16,25.01.17,1
10,MCCF0010,2,100,200,0,200,0,18,25.02.07,1
10,MCCF0010,2,100,200,0,200,0,20,25.02.18,1
10,MCCF0010,3,100,300,0,300,0,23,25.03.14,1
10,MCCF0010,5,100,500,0,500,0,28,25.04.14,1
10,MCCF0010,2,100,200,0,200,0,30,25.05.01,1
11,MCCF0011,2,100,200,0,200,0,2,24.11.03,1
11,MCCF0011,7,100,700,0,700,0,9,24.12.05,1
11,MCCF0011,4,100,400,0,400,0,13,25.01.09,1
11,MCCF0011,4,100,400,0,400,0,17,25.02.04,1
11,MCCF0011,4,100,400,0,400,0,21,25.02.13,1
11,MCCF0011,4,100,400,0,400,0,25,25.03.06,1
11,MCCF0011,5,100,500,0,500,0,30,25.04.03,1
11,MCCF0011,5,100,500,0,500,0,35,25.05.07,1
12,MCCF0012,4,200,800,0,800,0,4,24.11.04,2
12,MCCF0012,4,200,800,0,800,0,8,24.12.03,2
12,MCCF0012,4,200,800,0,800,0,12,25.01.02,2
12,MCCF0012,4,200,800,0,800,0,16,25.02.09,2
12,MCCF0012,5,200,1000,0,1000,0,21,25.03.03,2
12,MCCF0012,4,200,800,0,800,0,25,25.04.05,2
12,MCCF0012,5,200,1000,0,1000,0,30,25.05.07,2
13,MCCF0013,2,100,200,0,200,0,2,24.11.11,1
14,MCCF0014,6,100,600,0,600,0,6,24.11.15,1
14,MCCF0014,2,100,200,0,200,0,8,24.11.24,1
14,MCCF0014,4,100,400,0,400,0,12,24.12.15,1
14,MCCF0014,4,100,400,0,400,0,16,25.01.18,1
14,MCCF0014,4,100,400,0,400,0,20,25.02.19,1
14,MCCF0014,5,100,500,0,500,0,25,25.03.16,1
14,MCCF0014,4,100,400,0,400,0,29,25.04.20,1
15,MCCF0015,5,100,500,0,500,0,5,24.12.10,1
15,MCCF0015,5,100,500,0,500,0,10,24.12.16,1
15,MCCF0015,9,100,900,0,900,0,19,25.02.03,1
15,MCCF0015,5,100,500,0,500,0,24,25.03.18,1
15,MCCF0015,5,100,500,0,500,0,29,25.04.03,1
16,MCD20001,2,250,500,0,500,0,2,24.10.19,1
16,MCD20001,4,250,1000,0,1000,0,6,24.11.11,1
16,MCD20001,2,250,500,0,500,0,8,24.11.24,1
16,MCD20001,4,250,1000,0,1000,0,12,24.12.18,1
16,MCD20001,7,250,1750,0,1750,0,19,25.01.30,1
16,MCD20001,4,250,1000,0,1000,0,23,25.03.09,1
16,MCD20001,6,250,1500,0,1500,0,29,25.04.06,1
17,MCD20002,2,250,500,0,500,0,2,24.10.19,1
17,MCD20002,4,250,1000,0,1000,0,6,24.10.28,1
17,MCD20002,4,250,1000,0,1000,0,10,24.12.02,1
17,MCD20002,4,250,1000,0,1000,0,14,24.12.25,1
17,MCD20002,4,250,1000,0,1000,0,18,25.01.02,1
17,MCD20002,4,250,1000,0,1000,0,22,25.02.06,1
17,MCD20002,4,250,1000,0,1000,0,26,25.03.05,1
17,MCD20002,4,250,1000,0,1000,0,30,25.04.27,1
18,MCD20003,2,250,500,0,500,0,2,24.10.19,1
18,MCD20003,4,250,1000,0,1000,0,6,24.10.28,1
18,MCD20003,4,250,1000,0,1000,0,10,24.12.02,1
18,MCD20003,4,250,1000,0,1000,0,14,24.12.25,1
18,MCD20003,4,250,1000,0,1000,0,18,25.01.02,1
18,MCD20003,4,250,1000,0,1000,0,22,25.02.06,1
18,MCD20003,4,250,1000,0,1000,0,26,25.03.05,1
18,MCD20003,4,250,1000,0,1000,0,30,25.04.27,1
19,MCD20004,4,250,1000,0,1000,0,4,24.10.20,1
20,MCD20005,2,250,500,0,500,0,2,24.10.20,1
20,MCD20005,2,250,500,0,500,0,4,24.12.06,1
20,MCD20005,4,250,1000,0,1000,0,8,24.12.12,1
20,MCD20005,2,250,500,0,500,0,10,25.02.19,1
20,MCD20005,4,250,1000,0,1000,0,14,25.03.16,1
21,MCD20006,4,250,1000,0,1000,0,4,24.10.20,1
21,MCD20006,4,250,1000,0,1000,0,8,24.11.17,1
21,MCD20006,2,250,500,0,500,0,10,24.12.23,1
21,MCD20006,6,250,1500,0,1500,0,16,25.02.05,1
21,MCD20006,4,250,1000,0,1000,0,20,25.02.16,1
21,MCD20006,8,250,2000,0,2000,0,28,25.03.23,1
21,MCD20006,6,250,1500,0,1500,0,34,25.05.09,1
22,MCD20007,4,250,1000,0,1000,0,4,24.10.20,1
22,MCD20007,4,250,1000,0,1000,0,8,24.11.17,1
22,MCD20007,2,250,500,0,500,0,10,24.12.23,1
22,MCD20007,6,250,1500,0,1500,0,16,25.02.05,1
22,MCD20007,10,250,2500,0,2500,0,26,25.03.23,1
22,MCD20007,6,250,1500,0,1500,0,33,25.05.09,1
23,MCD20008,2,500,1000,0,1000,0,2,24.10.20,2
23,MCD20008,1,500,500,0,500,0,3,24.10.29,2
23,MCD20008,3,500,1500,0,1500,0,6,24.11.23,2
24,MCD20009,2,250,500,0,500,0,2,24.10.20,1
24,MCD20009,4,250,1000,0,1000,0,6,24.11.10,1
24,MCD20009,3,250,750,0,750,0,9,24.12.06,1
24,MCD20009,2,250,500,0,500,0,11,24.12.23,1
24,MCD20009,4,250,1000,0,1000,0,15,25.02.09,1
24,MCD20009,4,250,1000,0,1000,0,19,25.02.16,1
24,MCD20009,4,250,1000,0,1000,0,23,25.02.25,1
24,MCD20009,4,250,1000,0,1000,0,27,25.03.22,1
24,MCD20009,4,250,1000,0,1000,0,31,25.04.10,1
24,MCD20009,4,250,1000,0,1000,0,35,25.05.03,1
25,MCD20010,2,250,500,0,500,0,2,24.10.20,1
25,MCD20010,4,250,1000,0,1000,0,6,24.11.12,1
25,MCD20010,4,250,1000,0,1000,0,10,24.12.14,1
25,MCD20010,4,250,1000,0,1000,0,14,25.01.11,1
25,MCD20010,4,250,1000,0,1000,0,18,25.02.17,1
25,MCD20010,4,250,1000,0,1000,0,22,25.03.13,1
25,MCD20010,4,250,1000,0,1000,0,26,25.04.19,1
26,MCD20011,2,250,500,0,500,0,2,24.10.24,1
26,MCD20011,2,250,500,0,500,0,4,24.11.03,1
26,MCD20011,2,250,500,0,500,0,6,24.11.17,1
26,MCD20011,4,250,1000,0,1000,0,10,24.12.02,1
26,MCD20011,4,250,1000,0,1000,0,14,25.01.05,1
26,MCD20011,4,250,1000,0,1000,0,18,25.02.03,1
26,MCD20011,4,250,1000,0,1000,0,22,25.03.02,1
26,MCD20011,6,250,1500,0,1500,0,28,25.04.04,1
26,MCD20011,4,250,1000,0,1000,0,32,25.05.07,1
27,MCD20012,2,250,500,0,500,0,2,24.10.21,1
27,MCD20012,2,250,500,0,500,0,4,24.10.30,1
27,MCD20012,4,250,1000,0,1000,0,8,24.11.19,1
27,MCD20012,6,250,1500,0,1500,0,14,25.01.03,1
27,MCD20012,6,250,1500,0,1500,0,20,25.01.29,1
27,MCD20012,4,250,1000,0,1000,0,24,25.03.24,1
27,MCD20012,4,250,1000,0,1000,0,28,25.04.02,1
27,MCD20012,4,250,1000,0,1000,0,32,25.04.26,1
28,MCD20013,2,250,500,0,500,0,2,24.10.21,1
28,MCD20013,2,250,500,0,500,0,4,24.10.30,1
29,MCD20014,2,250,500,0,500,0,2,24.10.21,1
29,MCD20014,2,250,500,0,500,0,4,24.10.28,1
29,MCD20014,2,250,500,0,500,0,6,24.11.10,1
29,MCD20014,4,250,1000,0,1000,0,10,24.12.05,1
31,MCD20016,2,250,500,0,500,0,2,24.10.21,1
32,MCD20017,2,250,500,0,500,0,2,24.10.21,1
32,MCD20017,2,250,500,0,500,0,4,24.10.24,1
33,MCD20018,2,250,500,0,500,0,2,24.10.21,1
33,MCD20018,2,250,500,0,500,0,4,24.10.24,1
34,MCD20019,2,250,500,0,500,0,2,24.10.21,1
35,MCD20020,2,250,500,0,500,0,2,24.10.21,1
35,MCD20020,2,250,500,0,500,0,4,24.11.10,1
35,MCD20020,6,250,1500,0,1500,0,10,25.01.11,1
35,MCD20020,4,250,1000,0,1000,0,14,25.02.09,1
36,MCD20021,4,250,1000,0,1000,0,4,24.10.21,1
36,MCD20021,4,250,1000,0,1000,0,8,24.11.20,1
36,MCD20021,4,250,1000,0,1000,0,12,24.12.27,1
36,MCD20021,4,250,1000,0,1000,0,16,25.02.15,1
36,MCD20021,8,250,2000,0,2000,0,24,25.03.20,1
36,MCD20021,4,250,1000,0,1000,0,28,25.04.21,1
37,MCD20022,2,250,500,0,500,0,2,24.10.21,1
38,MCD20023,2,250,500,0,500,0,2,24.10.21,1
38,MCD20023,2,250,500,0,500,0,4,24.11.04,1
38,MCD20023,3,250,750,0,750,0,7,24.11.27,1
38,MCD20023,3,250,750,0,750,0,10,24.12.23,1
38,MCD20023,7,250,1750,0,1750,0,17,25.02.22,1
38,MCD20023,6,250,1500,0,1500,0,23,25.03.15,1
38,MCD20023,6,250,1500,0,1500,0,29,25.04.07,1
39,MCD20024,2,250,500,0,500,0,2,24.10.21,1
39,MCD20024,2,250,500,0,500,0,4,24.11.04,1
39,MCD20024,3,250,750,0,750,0,7,24.11.27,1
39,MCD20024,3,250,750,0,750,0,10,24.12.23,1
39,MCD20024,6,250,1500,0,1500,0,16,25.02.22,1
39,MCD20024,6,250,1500,0,1500,0,22,25.03.20,1
39,MCD20024,6,250,1500,0,1500,0,28,25.04.07,1
40,MCD20025,2,500,1000,0,1000,0,2,24.10.22,2
40,MCD20025,1,500,500,0,500,0,3,24.10.30,2
40,MCD20025,3,500,1500,0,1500,0,6,24.11.24,2
40,MCD20025,2,500,1000,0,1000,0,8,24.12.18,2
40,MCD20025,3,500,1500,0,1500,0,11,25.01.01,2
40,MCD20025,4,500,2000,0,2000,0,15,25.01.18,2
40,MCD20025,5,500,2500,0,2500,0,20,25.03.14,2
41,MCD20026,2,250,500,0,500,0,2,24.10.22,1
41,MCD20026,2,250,500,0,500,0,4,24.11.14,1
41,MCD20026,4,250,1000,0,1000,0,8,24.12.13,1
41,MCD20026,2,250,500,0,500,0,10,24.12.17,1
41,MCD20026,4,250,1000,0,1000,0,14,25.01.08,1
41,MCD20026,7,250,1750,0,1750,0,21,25.01.18,1
41,MCD20026,4,250,1000,0,1000,0,25,25.03.26,1
41,MCD20026,3,250,750,0,750,0,28,25.04.01,1
42,MCD20027,2,250,500,0,500,0,2,24.10.22,1
42,MCD20027,2,250,500,0,500,0,4,24.11.14,1
42,MCD20027,4,250,1000,0,1000,0,8,24.12.13,1
42,MCD20027,2,250,500,0,500,0,10,24.12.17,1
42,MCD20027,4,250,1000,0,1000,0,14,25.01.08,1
42,MCD20027,7,250,1750,0,1750,0,21,25.01.18,1
42,MCD20027,4,250,1000,0,1000,0,25,25.03.04,1
42,MCD20027,3,250,750,0,750,0,28,25.04.01,1
42,MCD20027,2,250,500,0,500,0,30,25.04.11,1
43,MCD20028,4,250,1000,0,1000,0,4,24.10.22,1
43,MCD20028,4,250,1000,0,1000,0,8,24.10.26,1
43,MCD20028,4,250,1000,0,1000,0,12,24.12.02,1
43,MCD20028,4,250,1000,0,1000,0,16,25.01.09,1
43,MCD20028,4,250,1000,0,1000,0,20,25.02.02,1
43,MCD20028,4,250,1000,0,1000,0,24,25.03.09,1
43,MCD20028,4,250,1000,0,1000,0,28,25.04.05,1
43,MCD20028,4,250,1000,0,1000,0,32,25.05.06,1
44,MCD20029,4,250,1000,0,1000,0,4,24.10.22,1
44,MCD20029,4,250,1000,0,1000,0,8,24.11.09,1
44,MCD20029,4,250,1000,0,1000,0,12,24.12.08,1
44,MCD20029,4,250,1000,0,1000,0,16,25.01.09,1
44,MCD20029,4,250,1000,0,1000,0,20,25.02.10,1
44,MCD20029,4,250,1000,0,1000,0,24,25.03.09,1
44,MCD20029,4,250,1000,0,1000,0,28,25.04.05,1
44,MCD20029,4,250,1000,0,1000,0,32,25.05.06,1
45,MCD20030,4,250,1000,0,1000,0,4,24.10.22,1
45,MCD20030,4,250,1000,0,1000,0,8,24.11.09,1
45,MCD20030,4,250,1000,0,1000,0,12,24.12.08,1
45,MCD20030,4,250,1000,0,1000,0,16,25.01.09,1
45,MCD20030,4,250,1000,0,1000,0,20,25.02.10,1
45,MCD20030,4,250,1000,0,1000,0,24,25.03.09,1
45,MCD20030,4,250,1000,0,1000,0,28,25.04.05,1
45,MCD20030,4,250,1000,0,1000,0,32,25.05.06,1
46,MCD20031,4,250,1000,0,1000,0,4,24.10.22,1
46,MCD20031,4,250,1000,0,1000,0,8,24.11.09,1
46,MCD20031,4,250,1000,0,1000,0,12,24.12.08,1
46,MCD20031,4,250,1000,0,1000,0,16,25.01.10,1
46,MCD20031,4,250,1000,0,1000,0,20,25.02.10,1
46,MCD20031,4,250,1000,0,1000,0,24,25.03.09,1
46,MCD20031,4,250,1000,0,1000,0,28,25.04.07,1
46,MCD20031,4,250,1000,0,1000,0,32,25.05.06,1
47,MCD20032,4,250,1000,0,1000,0,4,24.10.22,1
47,MCD20032,4,250,1000,0,1000,0,8,24.11.06,1
47,MCD20032,4,250,1000,0,1000,0,12,24.12.07,1
47,MCD20032,4,250,1000,0,1000,0,16,25.01.09,1
47,MCD20032,4,250,1000,0,1000,0,20,25.02.09,1
47,MCD20032,4,250,1000,0,1000,0,24,25.03.09,1
47,MCD20032,4,250,1000,0,1000,0,28,25.04.08,1
47,MCD20032,4,250,1000,0,1000,0,32,25.05.09,1
48,MCD20033,4,250,1000,0,1000,0,4,24.10.22,1
48,MCD20033,4,250,1000,0,1000,0,8,24.11.06,1
48,MCD20033,4,250,1000,0,1000,0,12,24.12.09,1
48,MCD20033,6,250,1500,0,1500,0,18,25.02.07,1
48,MCD20033,8,250,2000,0,2000,0,26,25.03.06,1
49,MCD20034,4,250,1000,0,1000,0,4,24.10.22,1
49,MCD20034,12,250,3000,0,3000,0,16,25.01.01,1
49,MCD20034,10,250,2500,0,2500,0,26,25.04.09,1
50,MCD20035,3,250,750,0,750,0,3,24.10.23,1
50,MCD20035,1,250,250,0,250,0,4,24.10.28,1
50,MCD20035,4,250,1000,0,1000,0,8,24.11.05,1
50,MCD20035,5,250,1250,0,1250,0,13,24.12.07,1
50,MCD20035,4,250,1000,0,1000,0,17,25.01.06,1
50,MCD20035,4,250,1000,0,1000,0,21,25.02.06,1
50,MCD20035,5,250,1250,0,1250,0,26,25.03.10,1
50,MCD20035,4,250,1000,0,1000,0,30,25.04.09,1
50,MCD20035,4,250,1000,0,1000,0,34,25.05.06,1
51,MCD20036,3,250,750,0,750,0,3,24.10.23,1
51,MCD20036,1,250,250,0,250,0,4,24.10.28,1
51,MCD20036,4,250,1000,0,1000,0,8,24.11.05,1
51,MCD20036,5,250,1250,0,1250,0,13,24.12.07,1
51,MCD20036,4,250,1000,0,1000,0,17,25.01.06,1
51,MCD20036,4,250,1000,0,1000,0,21,25.02.06,1
51,MCD20036,5,250,1250,0,1250,0,26,25.03.10,1
51,MCD20036,4,250,1000,0,1000,0,30,25.04.09,1
51,MCD20036,4,250,1000,0,1000,0,34,25.05.06,1
52,MCD20037,3,250,750,0,750,0,3,24.10.23,1
52,MCD20037,1,250,250,0,250,0,4,24.10.28,1
52,MCD20037,4,250,1000,0,1000,0,8,24.11.05,1
52,MCD20037,5,250,1250,0,1250,0,13,24.12.07,1
52,MCD20037,4,250,1000,0,1000,0,17,25.01.06,1
52,MCD20037,4,250,1000,0,1000,0,21,25.02.06,1
52,MCD20037,5,250,1250,0,1250,0,26,25.03.10,1
52,MCD20037,4,250,1000,0,1000,0,30,25.04.09,1
52,MCD20037,4,250,1000,0,1000,0,34,25.05.06,1
53,MCD20038,3,250,750,0,750,0,3,24.10.23,1
53,MCD20038,1,250,250,0,250,0,4,24.10.28,1
53,MCD20038,4,250,1000,0,1000,0,8,24.11.05,1
53,MCD20038,5,250,1250,0,1250,0,13,24.12.07,1
53,MCD20038,4,250,1000,0,1000,0,17,25.01.06,1
53,MCD20038,4,250,1000,0,1000,0,21,25.02.06,1
53,MCD20038,5,250,1250,0,1250,0,26,25.03.10,1
53,MCD20038,4,250,1000,0,1000,0,30,25.04.09,1
53,MCD20038,4,250,1000,0,1000,0,34,25.05.06,1
54,MCD20039,4,250,1000,0,1000,0,4,24.10.23,1
54,MCD20039,4,250,1000,0,1000,0,8,24.12.10,1
54,MCD20039,8,250,2000,0,2000,0,16,25.01.03,1
54,MCD20039,6,250,1500,0,1500,0,22,25.02.21,1
54,MCD20039,4,250,1000,0,1000,0,26,25.03.26,1
54,MCD20039,4,250,1000,0,1000,0,30,25.04.08,1
55,MCD20040,4,250,1000,0,1000,0,4,24.10.23,1
55,MCD20040,4,250,1000,0,1000,0,8,24.12.10,1
55,MCD20040,8,250,2000,0,2000,0,16,25.01.03,1
55,MCD20040,6,250,1500,0,1500,0,22,25.02.21,1
55,MCD20040,4,250,1000,0,1000,0,26,25.03.26,1
55,MCD20040,4,250,1000,0,1000,0,30,25.04.08,1
56,MCD20041,2,250,500,0,500,0,2,24.10.23,1
56,MCD20041,4,250,1000,0,1000,0,6,24.11.10,1
56,MCD20041,1,250,250,0,250,0,7,24.11.24,1
56,MCD20041,4,250,1000,0,1000,0,11,24.12.16,1
56,MCD20041,4,250,1000,0,1000,0,15,25.01.02,1
56,MCD20041,8,250,2000,0,2000,0,23,25.03.19,1
56,MCD20041,4,250,1000,0,1000,0,27,25.03.28,1
56,MCD20041,4,250,1000,0,1000,0,31,25.05.11,1
57,MCD20042,4,250,1000,0,1000,0,4,24.10.24,1
57,MCD20042,4,250,1000,0,1000,0,8,24.11.13,1
57,MCD20042,4,250,1000,0,1000,0,12,24.12.10,1
57,MCD20042,4,250,1000,0,1000,0,16,25.01.12,1
57,MCD20042,4,250,1000,0,1000,0,20,25.02.07,1
57,MCD20042,4,250,1000,0,1000,0,24,25.03.06,1
57,MCD20042,4,250,1000,0,1000,0,28,25.04.08,1
57,MCD20042,4,250,1000,0,1000,0,32,25.05.08,1
58,MCD20043,4,250,1000,0,1000,0,4,24.10.23,1
58,MCD20043,4,250,1000,0,1000,0,8,24.11.09,1
58,MCD20043,4,250,1000,0,1000,0,12,24.12.05,1
58,MCD20043,20,250,5000,0,5000,0,32,25.04.19,1
58,MCD20043,4,250,1000,0,1000,0,36,25.05.12,1
60,MCD20045,1,250,250,0,250,0,1,24.10.23,1
61,MCD20046,4,500,2000,0,2000,0,4,24.10.23,2
61,MCD20046,4,500,2000,0,2000,0,8,24.11.14,2
61,MCD20046,4,500,2000,0,2000,0,12,24.12.17,2
61,MCD20046,4,500,2000,0,2000,0,16,25.01.18,2
61,MCD20046,4,500,2000,0,2000,0,20,25.02.06,2
61,MCD20046,4,500,2000,0,2000,0,24,25.03.22,2
61,MCD20046,4,500,2000,0,2000,0,28,25.04.21,2
62,MCD20047,4,250,1000,0,1000,0,4,24.10.23,1
62,MCD20047,4,250,1000,0,1000,0,8,24.11.17,1
62,MCD20047,4,250,1000,0,1000,0,12,24.12.26,1
62,MCD20047,4,250,1000,0,1000,0,16,25.01.24,1
62,MCD20047,5,250,1250,0,1250,0,21,25.02.21,1
62,MCD20047,4,250,1000,0,1000,0,25,25.03.12,1
62,MCD20047,4,250,1000,0,1000,0,29,25.04.09,1
62,MCD20047,4,250,1000,0,1000,0,33,25.05.12,1
63,MCD20048,1,250,250,0,250,0,1,24.10.23,1
63,MCD20048,1,250,250,0,250,0,2,24.10.26,1
63,MCD20048,1,250,250,0,250,0,3,24.11.03,1
63,MCD20048,1,250,250,0,250,0,4,24.11.10,1
63,MCD20048,1,250,250,0,250,0,5,24.11.16,1
63,MCD20048,2,250,500,0,500,0,7,24.11.24,1
63,MCD20048,1,250,250,0,250,0,8,24.11.30,1
63,MCD20048,1,250,250,0,250,0,9,24.12.08,1
63,MCD20048,1,250,250,0,250,0,10,24.12.14,1
63,MCD20048,1,250,250,0,250,0,11,24.12.21,1
63,MCD20048,1,250,250,0,250,0,12,24.12.28,1
63,MCD20048,1,250,250,0,250,0,13,25.01.05,1
63,MCD20048,1,250,250,0,250,0,14,25.01.13,1
63,MCD20048,1,250,250,0,250,0,15,25.01.19,1
63,MCD20048,1,250,250,0,250,0,16,25.01.27,1
63,MCD20048,1,250,250,0,250,0,17,25.02.03,1
63,MCD20048,1,250,250,0,250,0,18,25.02.09,1
63,MCD20048,1,250,250,0,250,0,19,25.02.16,1
63,MCD20048,1,250,250,0,250,0,20,25.02.23,1
63,MCD20048,1,250,250,0,250,0,21,25.03.02,1
63,MCD20048,1,250,250,0,250,0,22,25.03.10,1
63,MCD20048,1,250,250,0,250,0,23,25.03.17,1
63,MCD20048,1,250,250,0,250,0,24,25.03.24,1
63,MCD20048,1,250,250,0,250,0,25,25.03.31,1
63,MCD20048,2,250,500,0,500,0,27,25.04.06,1
63,MCD20048,1,250,250,0,250,0,28,25.04.14,1
63,MCD20048,1,250,250,0,250,0,29,25.04.21,1
63,MCD20048,2,250,500,0,500,0,31,25.05.02,1
64,MCD20049,2,500,1000,0,1000,0,2,24.10.23,2
64,MCD20049,1,500,500,0,500,0,3,24.10.29,2
64,MCD20049,1,500,500,0,500,0,4,24.11.06,2
64,MCD20049,1,500,500,0,500,0,5,24.11.14,2
64,MCD20049,2,500,1000,0,1000,0,7,24.12.09,2
64,MCD20049,5,500,2500,0,2500,0,12,24.12.29,2
64,MCD20049,5,500,2500,0,2500,0,17,25.02.18,2
64,MCD20049,5,500,2500,0,2500,0,22,25.03.25,2
65,MCD20050,2,250,500,0,500,0,2,24.10.23,1
65,MCD20050,2,250,500,0,500,0,4,24.11.14,1
65,MCD20050,3,250,750,0,750,0,7,24.12.13,1
65,MCD20050,3,250,750,0,750,0,10,24.12.27,1
65,MCD20050,16,250,4000,0,4000,0,26,25.03.26,1
66,MCD20051,2,250,500,0,500,0,2,24.10.23,1
66,MCD20051,2,250,500,0,500,0,4,24.11.14,1
66,MCD20051,3,250,750,0,750,0,7,24.12.13,1
66,MCD20051,3,250,750,0,750,0,10,24.12.27,1
66,MCD20051,16,250,4000,0,4000,0,26,25.03.26,1
67,MCD20052,2,250,500,0,500,0,2,24.10.23,1
67,MCD20052,2,250,500,0,500,0,4,24.11.14,1
67,MCD20052,4,250,1000,0,1000,0,8,24.12.13,1
67,MCD20052,2,250,500,0,500,0,10,24.12.27,1
67,MCD20052,4,250,1000,0,1000,0,14,25.01.08,1
67,MCD20052,7,250,1750,0,1750,0,21,25.01.18,1
67,MCD20052,4,250,1000,0,1000,0,25,25.03.26,1
67,MCD20052,3,250,750,0,750,0,28,25.04.01,1
68,MCD20053,2,500,1000,0,1000,0,2,24.10.23,2
68,MCD20053,3,500,1500,0,1500,0,5,24.11.13,2
68,MCD20053,6,500,3000,0,3000,0,11,24.12.23,2
68,MCD20053,4,500,2000,0,2000,0,15,25.01.13,2
68,MCD20053,4,500,2000,0,2000,0,19,25.02.21,2
69,MCD20054,3,250,750,0,750,0,3,24.10.23,1
69,MCD20054,2,250,500,0,500,0,5,24.11.08,1
69,MCD20054,2,250,500,0,500,0,7,24.11.25,1
69,MCD20054,5,250,1250,0,1250,0,12,24.12.05,1
69,MCD20054,5,250,1250,0,1250,0,17,25.01.06,1
69,MCD20054,4,250,1000,0,1000,0,21,25.02.09,1
69,MCD20054,4,250,1000,0,1000,0,25,25.03.06,1
69,MCD20054,4,250,1000,0,1000,0,29,25.04.15,1
69,MCD20054,4,250,1000,0,1000,0,33,25.05.11,1
70,MCD20055,3,250,750,0,750,0,3,24.10.23,1
70,MCD20055,2,250,500,0,500,0,5,24.11.08,1
70,MCD20055,2,250,500,0,500,0,7,24.11.25,1
70,MCD20055,5,250,1250,0,1250,0,12,24.12.05,1
70,MCD20055,5,250,1250,0,1250,0,17,25.01.06,1
70,MCD20055,4,250,1000,0,1000,0,21,25.02.09,1
70,MCD20055,4,250,1000,0,1000,0,25,25.03.06,1
70,MCD20055,4,250,1000,0,1000,0,29,25.04.15,1
70,MCD20055,4,250,1000,0,1000,0,33,25.05.11,1
71,MCD20056,2,250,500,0,500,0,2,24.10.23,1
71,MCD20056,2,250,500,0,500,0,4,24.11.12,1
71,MCD20056,2,250,500,0,500,0,6,24.12.18,1
